=== v19 Diffusion Prior STARTUP ===
train_z: torch.Size([1893, 64]) | val_z: torch.Size([210, 64])
train mu_norm: 4.418 +/- 0.925
val mu_norm:   4.475 +/- 1.011
DiffusionPrior params: 826.2K
Config: B=512 EPOCHS=200 LR=0.001 PATIENCE=20 steps=5

=== train 200 epochs ===
  epoch   0/200 | train_loss 1.3146 | val_loss 1.1379 | cos_sim(5step) 0.357 (1step 0.370) | 0s
  epoch   1/200 | train_loss 1.0690 | val_loss 1.0554 | cos_sim(5step) 0.352 (1step 0.366) | 0s
  epoch   2/200 | train_loss 1.0004 | val_loss 0.9314 | cos_sim(5step) 0.418 (1step 0.430) | 0s
  epoch   3/200 | train_loss 0.9022 | val_loss 0.8084 | cos_sim(5step) 0.374 (1step 0.405) | 0s
  epoch   4/200 | train_loss 0.7426 | val_loss 0.6427 | cos_sim(5step) 0.460 (1step 0.444) | 0s
  epoch   5/200 | train_loss 0.6122 | val_loss 0.5594 | cos_sim(5step) 0.495 (1step 0.460) | 1s
  epoch   6/200 | train_loss 0.5167 | val_loss 0.4576 | cos_sim(5step) 0.568 (1step 0.499) | 1s
  epoch   7/200 | train_loss 0.4399 | val_loss 0.4153 | cos_sim(5step) 0.595 (1step 0.558) | 1s
  epoch   8/200 | train_loss 0.3859 | val_loss 0.3567 | cos_sim(5step) 0.629 (1step 0.575) | 1s
  epoch   9/200 | train_loss 0.3451 | val_loss 0.3180 | cos_sim(5step) 0.659 (1step 0.604) | 1s
  epoch  10/200 | train_loss 0.3001 | val_loss 0.2887 | cos_sim(5step) 0.715 (1step 0.661) | 1s
  epoch  11/200 | train_loss 0.2594 | val_loss 0.2761 | cos_sim(5step) 0.729 (1step 0.675) | 1s
  epoch  12/200 | train_loss 0.2396 | val_loss 0.2354 | cos_sim(5step) 0.733 (1step 0.694) | 1s
  epoch  13/200 | train_loss 0.2249 | val_loss 0.2173 | cos_sim(5step) 0.750 (1step 0.704) | 1s
  epoch  14/200 | train_loss 0.2070 | val_loss 0.2027 | cos_sim(5step) 0.740 (1step 0.727) | 1s
  epoch  15/200 | train_loss 0.1978 | val_loss 0.2112 | cos_sim(5step) 0.746 (1step 0.715) | 1s
  epoch  16/200 | train_loss 0.1948 | val_loss 0.2065 | cos_sim(5step) 0.784 (1step 0.729) | 1s
  epoch  17/200 | train_loss 0.1843 | val_loss 0.2048 | cos_sim(5step) 0.772 (1step 0.719) | 1s
  epoch  18/200 | train_loss 0.1770 | val_loss 0.1816 | cos_sim(5step) 0.747 (1step 0.727) | 1s
  epoch  19/200 | train_loss 0.1728 | val_loss 0.1902 | cos_sim(5step) 0.761 (1step 0.751) | 1s
  epoch  20/200 | train_loss 0.1714 | val_loss 0.1589 | cos_sim(5step) 0.787 (1step 0.753) | 1s
  epoch  21/200 | train_loss 0.1822 | val_loss 0.1692 | cos_sim(5step) 0.764 (1step 0.764) | 1s
  epoch  22/200 | train_loss 0.1645 | val_loss 0.1789 | cos_sim(5step) 0.737 (1step 0.736) | 1s
  epoch  23/200 | train_loss 0.1628 | val_loss 0.1792 | cos_sim(5step) 0.794 (1step 0.743) | 1s
  epoch  24/200 | train_loss 0.1651 | val_loss 0.1409 | cos_sim(5step) 0.773 (1step 0.742) | 1s
  epoch  25/200 | train_loss 0.1597 | val_loss 0.1519 | cos_sim(5step) 0.728 (1step 0.748) | 1s
