=== v35: 重训 drafter (100K 扩展数据) ===
Vocab 2261
Loading cached_v35_outputs.npz (100K samples) ...
  z: torch.Size([99984, 256]), tokens: torch.Size([99984, 100])
Drafter: 28.24M params
  tok_emb + tied head: 1.16M params

=== 训练 30000 steps, B=32, LR=0.0002 ===
  step     0/30000 | loss 2.3440 | pred_match 0.0% | target_match 100.0% | LR 1.33e-07 | 0s ETA 14200s
  step   500/30000 | loss 1.1910 | pred_match 5.5% | target_match 100.0% | LR 6.68e-05 | 7s ETA 404s
  step  1000/30000 | loss 0.8494 | pred_match 7.8% | target_match 100.0% | LR 1.33e-04 | 13s ETA 384s
  step  1500/30000 | loss 0.4049 | pred_match 0.8% | target_match 100.0% | LR 2.00e-04 | 20s ETA 372s
  step  2000/30000 | loss 0.2874 | pred_match 3.9% | target_match 100.0% | LR 2.00e-04 | 26s ETA 361s
  step  2500/30000 | loss 0.2192 | pred_match 3.1% | target_match 100.0% | LR 1.99e-04 | 32s ETA 353s
  step  3000/30000 | loss 0.2814 | pred_match 1.6% | target_match 100.0% | LR 1.99e-04 | 38s ETA 344s
  step  3500/30000 | loss 0.2215 | pred_match 3.1% | target_match 100.0% | LR 1.98e-04 | 44s ETA 336s
  step  4000/30000 | loss 0.1793 | pred_match 3.9% | target_match 100.0% | LR 1.96e-04 | 51s ETA 330s
  step  4500/30000 | loss 0.2062 | pred_match 2.3% | target_match 100.0% | LR 1.95e-04 | 57s ETA 322s
  step  5000/30000 | loss 0.2365 | pred_match 0.8% | target_match 100.0% | LR 1.93e-04 | 63s ETA 315s
  step  5500/30000 | loss 0.1510 | pred_match 4.7% | target_match 100.0% | LR 1.90e-04 | 69s ETA 309s
  step  6000/30000 | loss 0.1875 | pred_match 5.5% | target_match 100.0% | LR 1.88e-04 | 75s ETA 302s
  step  6500/30000 | loss 0.1759 | pred_match 0.8% | target_match 100.0% | LR 1.85e-04 | 82s ETA 296s
  step  7000/30000 | loss 0.1940 | pred_match 1.6% | target_match 100.0% | LR 1.82e-04 | 88s ETA 290s
  step  7500/30000 | loss 0.1683 | pred_match 2.3% | target_match 100.0% | LR 1.79e-04 | 95s ETA 284s
  step  8000/30000 | loss 0.1198 | pred_match 3.9% | target_match 100.0% | LR 1.75e-04 | 101s ETA 278s
  step  8500/30000 | loss 0.1487 | pred_match 1.6% | target_match 100.0% | LR 1.72e-04 | 107s ETA 271s
  step  9000/30000 | loss 0.1339 | pred_match 3.1% | target_match 100.0% | LR 1.68e-04 | 113s ETA 265s
  step  9500/30000 | loss 0.1132 | pred_match 4.7% | target_match 100.0% | LR 1.64e-04 | 120s ETA 258s
  step 10000/30000 | loss 0.1677 | pred_match 2.3% | target_match 100.0% | LR 1.59e-04 | 126s ETA 252s
  step 10500/30000 | loss 0.2183 | pred_match 5.5% | target_match 100.0% | LR 1.55e-04 | 133s ETA 246s
  step 11000/30000 | loss 0.1564 | pred_match 7.8% | target_match 100.0% | LR 1.50e-04 | 139s ETA 240s
  step 11500/30000 | loss 0.1448 | pred_match 3.1% | target_match 100.0% | LR 1.45e-04 | 145s ETA 233s
  step 12000/30000 | loss 0.1072 | pred_match 1.6% | target_match 100.0% | LR 1.40e-04 | 151s ETA 227s
  step 12500/30000 | loss 0.0953 | pred_match 3.1% | target_match 100.0% | LR 1.35e-04 | 158s ETA 221s
  step 13000/30000 | loss 0.1498 | pred_match 2.3% | target_match 100.0% | LR 1.30e-04 | 164s ETA 215s
  step 13500/30000 | loss 0.1310 | pred_match 5.5% | target_match 100.0% | LR 1.25e-04 | 171s ETA 209s
  step 14000/30000 | loss 0.0987 | pred_match 4.7% | target_match 100.0% | LR 1.19e-04 | 177s ETA 203s
  step 14500/30000 | loss 0.1301 | pred_match 3.1% | target_match 100.0% | LR 1.14e-04 | 184s ETA 196s
  step 15000/30000 | loss 0.0534 | pred_match 3.9% | target_match 100.0% | LR 1.08e-04 | 190s ETA 190s
  step 15500/30000 | loss 0.1334 | pred_match 3.1% | target_match 100.0% | LR 1.03e-04 | 196s ETA 184s
  step 16000/30000 | loss 0.0874 | pred_match 2.3% | target_match 100.0% | LR 9.72e-05 | 202s ETA 177s
  step 16500/30000 | loss 0.1139 | pred_match 3.9% | target_match 100.0% | LR 9.17e-05 | 209s ETA 171s
  step 17000/30000 | loss 0.1579 | pred_match 3.9% | target_match 100.0% | LR 8.63e-05 | 215s ETA 164s
  step 17500/30000 | loss 0.0552 | pred_match 3.1% | target_match 100.0% | LR 8.08e-05 | 221s ETA 158s
  step 18000/30000 | loss 0.1170 | pred_match 2.3% | target_match 100.0% | LR 7.54e-05 | 228s ETA 152s
  step 18500/30000 | loss 0.1065 | pred_match 4.7% | target_match 100.0% | LR 7.01e-05 | 234s ETA 145s
  step 19000/30000 | loss 0.0929 | pred_match 3.9% | target_match 100.0% | LR 6.49e-05 | 240s ETA 139s
  step 19500/30000 | loss 0.1197 | pred_match 3.1% | target_match 100.0% | LR 5.98e-05 | 247s ETA 133s
  step 20000/30000 | loss 0.0767 | pred_match 3.1% | target_match 100.0% | LR 5.48e-05 | 253s ETA 127s
  step 20500/30000 | loss 0.1213 | pred_match 5.5% | target_match 100.0% | LR 5.00e-05 | 260s ETA 120s
  step 21000/30000 | loss 0.1243 | pred_match 2.3% | target_match 100.0% | LR 4.53e-05 | 267s ETA 114s
  step 21500/30000 | loss 0.1132 | pred_match 3.1% | target_match 100.0% | LR 4.08e-05 | 273s ETA 108s
  step 22000/30000 | loss 0.0692 | pred_match 3.1% | target_match 100.0% | LR 3.64e-05 | 279s ETA 102s
  step 22500/30000 | loss 0.0601 | pred_match 4.7% | target_match 100.0% | LR 3.23e-05 | 286s ETA 95s
  step 23000/30000 | loss 0.1426 | pred_match 3.1% | target_match 100.0% | LR 2.83e-05 | 292s ETA 89s
  step 23500/30000 | loss 0.0505 | pred_match 3.9% | target_match 100.0% | LR 2.46e-05 | 298s ETA 82s
  step 24000/30000 | loss 0.0990 | pred_match 3.1% | target_match 100.0% | LR 2.11e-05 | 305s ETA 76s
