=== v35: 重训 drafter (100K 扩展数据) ===
Vocab 2261
Loading cached_v35_outputs.npz (100K samples) ...
  z: torch.Size([50327, 256]), tokens: torch.Size([50327, 100])
Drafter: 28.24M params
  tok_emb + tied head: 1.16M params

=== 训练 30000 steps, B=32, LR=0.0002 ===
  step     0/30000 | loss 2.3360 | pred_match 0.0% | target_match 100.0% | LR 1.33e-07 | 0s ETA 14150s
  step   500/30000 | loss 1.1299 | pred_match 2.3% | target_match 100.0% | LR 6.68e-05 | 7s ETA 433s
  step  1000/30000 | loss 0.7196 | pred_match 0.8% | target_match 100.0% | LR 1.33e-04 | 14s ETA 401s
  step  1500/30000 | loss 0.3381 | pred_match 1.6% | target_match 100.0% | LR 2.00e-04 | 20s ETA 382s
  step  2000/30000 | loss 0.2502 | pred_match 1.6% | target_match 100.0% | LR 2.00e-04 | 26s ETA 368s
  step  2500/30000 | loss 0.1789 | pred_match 1.6% | target_match 100.0% | LR 1.99e-04 | 33s ETA 358s
  step  3000/30000 | loss 0.2390 | pred_match 1.6% | target_match 100.0% | LR 1.99e-04 | 39s ETA 350s
  step  3500/30000 | loss 0.2182 | pred_match 3.9% | target_match 100.0% | LR 1.98e-04 | 45s ETA 343s
  step  4000/30000 | loss 0.1470 | pred_match 4.7% | target_match 100.0% | LR 1.96e-04 | 52s ETA 336s
  step  4500/30000 | loss 0.1669 | pred_match 3.1% | target_match 100.0% | LR 1.95e-04 | 58s ETA 330s
  step  5000/30000 | loss 0.2158 | pred_match 3.9% | target_match 100.0% | LR 1.93e-04 | 66s ETA 330s
  step  5500/30000 | loss 0.1434 | pred_match 1.6% | target_match 100.0% | LR 1.90e-04 | 76s ETA 336s
  step  6000/30000 | loss 0.1832 | pred_match 2.3% | target_match 100.0% | LR 1.88e-04 | 83s ETA 330s
  step  6500/30000 | loss 0.1770 | pred_match 2.3% | target_match 100.0% | LR 1.85e-04 | 89s ETA 322s
  step  7000/30000 | loss 0.1831 | pred_match 4.7% | target_match 100.0% | LR 1.82e-04 | 96s ETA 314s
  step  7500/30000 | loss 0.1686 | pred_match 6.2% | target_match 100.0% | LR 1.79e-04 | 102s ETA 306s
  step  8000/30000 | loss 0.0910 | pred_match 3.1% | target_match 100.0% | LR 1.75e-04 | 109s ETA 298s
  step  8500/30000 | loss 0.1297 | pred_match 5.5% | target_match 100.0% | LR 1.72e-04 | 115s ETA 291s
  step  9000/30000 | loss 0.0932 | pred_match 5.5% | target_match 100.0% | LR 1.68e-04 | 122s ETA 284s
  step  9500/30000 | loss 0.1077 | pred_match 1.6% | target_match 100.0% | LR 1.64e-04 | 128s ETA 276s
  step 10000/30000 | loss 0.1516 | pred_match 4.7% | target_match 100.0% | LR 1.59e-04 | 135s ETA 269s
  step 10500/30000 | loss 0.2052 | pred_match 9.4% | target_match 100.0% | LR 1.55e-04 | 141s ETA 262s
  step 11000/30000 | loss 0.1421 | pred_match 5.5% | target_match 100.0% | LR 1.50e-04 | 148s ETA 255s
  step 11500/30000 | loss 0.1257 | pred_match 5.5% | target_match 100.0% | LR 1.45e-04 | 154s ETA 248s
  step 12000/30000 | loss 0.0981 | pred_match 5.5% | target_match 100.0% | LR 1.40e-04 | 161s ETA 242s
  step 12500/30000 | loss 0.0761 | pred_match 2.3% | target_match 100.0% | LR 1.35e-04 | 168s ETA 235s
  step 13000/30000 | loss 0.1341 | pred_match 3.9% | target_match 100.0% | LR 1.30e-04 | 175s ETA 228s
  step 13500/30000 | loss 0.1204 | pred_match 2.3% | target_match 100.0% | LR 1.25e-04 | 181s ETA 221s
  step 14000/30000 | loss 0.0895 | pred_match 4.7% | target_match 100.0% | LR 1.19e-04 | 188s ETA 215s
  step 14500/30000 | loss 0.1143 | pred_match 4.7% | target_match 100.0% | LR 1.14e-04 | 194s ETA 208s
  step 15000/30000 | loss 0.0457 | pred_match 2.3% | target_match 100.0% | LR 1.08e-04 | 201s ETA 201s
  step 15500/30000 | loss 0.0807 | pred_match 2.3% | target_match 100.0% | LR 1.03e-04 | 208s ETA 194s
  step 16000/30000 | loss 0.0639 | pred_match 4.7% | target_match 100.0% | LR 9.72e-05 | 214s ETA 188s
  step 16500/30000 | loss 0.1117 | pred_match 4.7% | target_match 100.0% | LR 9.17e-05 | 221s ETA 181s
  step 17000/30000 | loss 0.1450 | pred_match 1.6% | target_match 100.0% | LR 8.63e-05 | 228s ETA 174s
  step 17500/30000 | loss 0.0445 | pred_match 2.3% | target_match 100.0% | LR 8.08e-05 | 235s ETA 168s
  step 18000/30000 | loss 0.1187 | pred_match 5.5% | target_match 100.0% | LR 7.54e-05 | 241s ETA 161s
  step 18500/30000 | loss 0.1016 | pred_match 5.5% | target_match 100.0% | LR 7.01e-05 | 248s ETA 154s
  step 19000/30000 | loss 0.0837 | pred_match 7.8% | target_match 100.0% | LR 6.49e-05 | 254s ETA 147s
  step 19500/30000 | loss 0.1039 | pred_match 2.3% | target_match 100.0% | LR 5.98e-05 | 260s ETA 140s
  step 20000/30000 | loss 0.0734 | pred_match 3.1% | target_match 100.0% | LR 5.48e-05 | 267s ETA 133s
  step 20500/30000 | loss 0.1054 | pred_match 4.7% | target_match 100.0% | LR 5.00e-05 | 273s ETA 126s
  step 21000/30000 | loss 0.1151 | pred_match 6.2% | target_match 100.0% | LR 4.53e-05 | 279s ETA 120s
  step 21500/30000 | loss 0.0854 | pred_match 3.1% | target_match 100.0% | LR 4.08e-05 | 285s ETA 113s
  step 22000/30000 | loss 0.0690 | pred_match 2.3% | target_match 100.0% | LR 3.64e-05 | 292s ETA 106s
  step 22500/30000 | loss 0.0574 | pred_match 3.9% | target_match 100.0% | LR 3.23e-05 | 298s ETA 99s
  step 23000/30000 | loss 0.1298 | pred_match 3.9% | target_match 100.0% | LR 2.83e-05 | 305s ETA 93s
  step 23500/30000 | loss 0.0510 | pred_match 3.9% | target_match 100.0% | LR 2.46e-05 | 311s ETA 86s
  step 24000/30000 | loss 0.0713 | pred_match 6.2% | target_match 100.0% | LR 2.11e-05 | 317s ETA 79s
  step 24500/30000 | loss 0.0853 | pred_match 3.9% | target_match 100.0% | LR 1.78e-05 | 324s ETA 73s
  step 25000/30000 | loss 0.1086 | pred_match 4.7% | target_match 100.0% | LR 1.48e-05 | 330s ETA 66s
  step 25500/30000 | loss 0.0675 | pred_match 3.9% | target_match 100.0% | LR 1.20e-05 | 337s ETA 60s
  step 26000/30000 | loss 0.1336 | pred_match 4.7% | target_match 100.0% | LR 9.56e-06 | 344s ETA 53s
  step 26500/30000 | loss 0.0899 | pred_match 4.7% | target_match 100.0% | LR 7.35e-06 | 351s ETA 46s
  step 27000/30000 | loss 0.0753 | pred_match 3.9% | target_match 100.0% | LR 5.41e-06 | 358s ETA 40s
  step 27500/30000 | loss 0.0872 | pred_match 3.1% | target_match 100.0% | LR 3.77e-06 | 365s ETA 33s
  step 28000/30000 | loss 0.0890 | pred_match 2.3% | target_match 100.0% | LR 2.42e-06 | 371s ETA 27s
