D:\CrystaLLM\.venv\lib\site-packages\torch\nn\modules\transformer.py:392: UserWarning: enable_nested_tensor is True, but self.use_nested_tensor is False because encoder_layer.norm_first was True
  warnings.warn(
[data] train=65,269,944  val=26,431

======================================================================
[Exp30 stageA_50M] d_model=640 nhead=8 layers=10
  steps=8000  lr=5e-05  warmup=1000  ¦Á_max=0.5
  batch=32  seq_len=128  do_eval=True
======================================================================
  params: 54,566,400 (54.6M)
  step     1/8000  lr=5.00e-08  ¦Á=0.001  loss=8.4329  mem=2.5GB  elapsed=0s
  step   100/8000  lr=5.00e-06  ¦Á=0.050  loss=8.1319  mem=3.0GB  elapsed=6s
  step   200/8000  lr=1.00e-05  ¦Á=0.100  loss=7.6741  mem=3.0GB  elapsed=12s
  step   300/8000  lr=1.50e-05  ¦Á=0.150  loss=7.3467  mem=3.0GB  elapsed=18s
  step   400/8000  lr=2.00e-05  ¦Á=0.200  loss=7.1016  mem=3.0GB  elapsed=24s
  step   500/8000  lr=2.50e-05  ¦Á=0.250  loss=6.9331  mem=3.0GB  elapsed=30s
  step   600/8000  lr=3.00e-05  ¦Á=0.300  loss=6.8074  mem=3.0GB  elapsed=36s
  step   700/8000  lr=3.50e-05  ¦Á=0.350  loss=6.6197  mem=3.0GB  elapsed=42s
  step   800/8000  lr=4.00e-05  ¦Á=0.400  loss=6.4015  mem=3.0GB  elapsed=48s
  step   900/8000  lr=4.50e-05  ¦Á=0.450  loss=6.1734  mem=3.0GB  elapsed=54s
  step  1000/8000  lr=5.00e-05  ¦Á=0.500  loss=5.9953  mem=3.0GB  elapsed=59s
  >>> ckpt@1000: TF=295.64  argmax=1653.35  soft=1593.32  soft-adv=+3.63%  ¦¤(infer-train)=1297.68  time=59s
  step  1100/8000  lr=5.00e-05  ¦Á=0.500  loss=5.8350  mem=3.0GB  elapsed=95s
  step  1200/8000  lr=5.00e-05  ¦Á=0.500  loss=5.6803  mem=3.0GB  elapsed=101s
  step  1300/8000  lr=5.00e-05  ¦Á=0.500  loss=5.5643  mem=3.0GB  elapsed=107s
  step  1400/8000  lr=5.00e-05  ¦Á=0.500  loss=5.4375  mem=3.0GB  elapsed=112s
  step  1500/8000  lr=5.00e-05  ¦Á=0.500  loss=5.3519  mem=3.0GB  elapsed=118s
  step  1600/8000  lr=5.00e-05  ¦Á=0.500  loss=5.2693  mem=3.0GB  elapsed=124s
  step  1700/8000  lr=5.00e-05  ¦Á=0.500  loss=5.2194  mem=3.0GB  elapsed=130s
  step  1800/8000  lr=5.00e-05  ¦Á=0.500  loss=5.0972  mem=3.0GB  elapsed=136s
  step  1900/8000  lr=5.00e-05  ¦Á=0.500  loss=5.0433  mem=3.0GB  elapsed=142s
  step  2000/8000  lr=5.00e-05  ¦Á=0.500  loss=4.9940  mem=3.0GB  elapsed=148s
  >>> ckpt@2000: TF=94.13  argmax=3841.56  soft=5627.66  soft-adv=-46.49%  ¦¤(infer-train)=5533.53  time=148s
  step  2100/8000  lr=5.00e-05  ¦Á=0.500  loss=4.9192  mem=3.0GB  elapsed=183s
  step  2200/8000  lr=5.00e-05  ¦Á=0.500  loss=4.8649  mem=3.0GB  elapsed=189s
  step  2300/8000  lr=5.00e-05  ¦Á=0.500  loss=4.8347  mem=3.0GB  elapsed=195s
  step  2400/8000  lr=5.00e-05  ¦Á=0.500  loss=4.7892  mem=3.0GB  elapsed=200s
  step  2500/8000  lr=5.00e-05  ¦Á=0.500  loss=4.7490  mem=3.0GB  elapsed=206s
  step  2600/8000  lr=5.00e-05  ¦Á=0.500  loss=4.7225  mem=3.0GB  elapsed=212s
  step  2700/8000  lr=5.00e-05  ¦Á=0.500  loss=4.6318  mem=3.0GB  elapsed=218s
  step  2800/8000  lr=5.00e-05  ¦Á=0.500  loss=4.5672  mem=3.0GB  elapsed=224s
  step  2900/8000  lr=5.00e-05  ¦Á=0.500  loss=4.6039  mem=3.0GB  elapsed=230s
  step  3000/8000  lr=5.00e-05  ¦Á=0.500  loss=4.5610  mem=3.0GB  elapsed=236s
  step  3100/8000  lr=5.00e-05  ¦Á=0.500  loss=4.4859  mem=3.0GB  elapsed=242s
  step  3200/8000  lr=5.00e-05  ¦Á=0.500  loss=4.4579  mem=3.0GB  elapsed=248s
  step  3300/8000  lr=5.00e-05  ¦Á=0.500  loss=4.4420  mem=3.0GB  elapsed=254s
  step  3400/8000  lr=5.00e-05  ¦Á=0.500  loss=4.4040  mem=3.0GB  elapsed=260s
  step  3500/8000  lr=5.00e-05  ¦Á=0.500  loss=4.3604  mem=3.0GB  elapsed=266s
